client,k,tau,fisher_batches,erase_scale,test_acc,forget_client_acc,test_pp,abs_combo
5,16,median,20,0.6,0.6406,29.57,64.05999999999999,45.31917941247878
5,16,median,20,0.4,0.703,33.92,70.3,34.72917941247877
5,16,median,20,0.2,0.7552,47.0,75.52,16.429179412478774
5,16,median,10,0.6,0.6391,29.4,63.91,45.639179412478775
5,16,median,10,0.4,0.7027,33.75,70.27,34.929179412478774
5,16,median,10,0.2,0.7542,46.69,75.42,16.83917941247877
5,16,median,5,0.6,0.6327,29.72,63.27,45.95917941247877
5,16,median,5,0.4,0.6972,33.43,69.72,35.79917941247877
5,16,median,5,0.2,0.7518,45.35,75.18,18.419179412478762
5,16,mean,20,0.6,0.4171,27.17,41.71,70.06917941247877
5,16,mean,20,0.4,0.5696,33.11,56.96,48.87917941247877
5,16,mean,20,0.2,0.7199,45.38,71.99,21.579179412478773
5,16,mean,10,0.6,0.4481,27.77,44.81,66.36917941247877
5,16,mean,10,0.4,0.5963,33.43,59.63,45.88917941247877
5,16,mean,10,0.2,0.7256,44.79,72.56,21.59917941247877
5,16,mean,5,0.6,0.4404,27.17,44.04,67.73917941247876
5,16,mean,5,0.4,0.5939,32.75,59.39,46.80917941247877
5,16,mean,5,0.2,0.7233,43.68,72.33000000000001,22.939179412478758
5,12,median,20,0.6,0.5758,33.21,57.58,48.15917941247877
5,12,median,20,0.4,0.6835,42.29,68.35,28.309179412478777
5,12,median,20,0.2,0.759,55.33,75.9,7.719179412478766
5,12,median,10,0.6,0.5754,32.56,57.54,48.84917941247877
5,12,median,10,0.4,0.6786,40.59,67.86,30.499179412478767
5,12,median,10,0.2,0.7552,53.9,75.52,9.529179412478776
5,12,median,5,0.6,0.5833,36.73,58.330000000000005,43.88917941247877
5,12,median,5,0.4,0.7076,49.99,70.76,18.199179412478763
5,12,median,5,0.2,0.777,63.97,77.7,7.180820587521239
5,12,mean,20,0.6,0.4261,31.29,42.61,65.04917941247876
5,12,mean,20,0.4,0.591,36.68,59.099999999999994,43.169179412478776
5,12,mean,20,0.2,0.7366,53.99,73.66,11.299179412478772
5,12,mean,10,0.6,0.446,31.83,44.6,62.51917941247877
5,12,mean,10,0.4,0.6035,37.44,60.35,41.15917941247877
5,12,mean,10,0.2,0.7418,54.75,74.18,10.019179412478763
5,12,mean,5,0.6,0.4285,31.0,42.85,65.09917941247878
5,12,mean,5,0.4,0.593,36.0,59.3,43.64917941247877
5,12,mean,5,0.2,0.7346,50.47,73.46000000000001,15.019179412478763
5,8,median,20,0.6,0.4048,33.48,40.48,64.98917941247878
5,8,median,20,0.4,0.6326,58.63,63.260000000000005,17.059179412478763
5,8,median,20,0.2,0.7732,75.09,77.32,18.680820587521254
5,8,median,10,0.6,0.4363,35.49,43.63,59.829179412478766
5,8,median,10,0.4,0.6407,57.27,64.07000000000001,17.60917941247876
5,8,median,10,0.2,0.7718,73.56,77.18,17.29082058752124
5,8,median,5,0.6,0.4498,32.9,44.98,61.069179412478775
5,8,median,5,0.4,0.644,51.81,64.4,22.739179412478762
5,8,median,5,0.2,0.7694,69.9,76.94,13.870820587521251
5,8,mean,20,0.6,0.3769,27.43,37.69,73.82917941247877
5,8,mean,20,0.4,0.6032,46.64,60.31999999999999,31.989179412478776
5,8,mean,20,0.2,0.7657,72.3,76.57000000000001,16.640820587521233
5,8,mean,10,0.6,0.4238,30.37,42.38,66.19917941247877
5,8,mean,10,0.4,0.6304,49.53,63.04,26.37917941247877
5,8,mean,10,0.2,0.7694,71.69,76.94,15.660820587521243
5,8,mean,5,0.6,0.4396,29.67,43.96,65.31917941247877
5,8,mean,5,0.4,0.6356,46.3,63.56,29.08917941247877
5,8,mean,5,0.2,0.7692,68.49,76.92,12.480820587521237
